
10;1;1836;171;45;1944;54;100
10;2;2636;171;45;1889;54;100
10;3;2242;171;45;1646;54;100
10;4;4444;171;45;1530;54;100
10;5;2114;171;45;22833;54;100
50;1;16354;3871;1225;3435;285;2500
50;2;10178;3871;1225;3616;285;2500
50;3;4618;3871;1225;3183;285;2500
50;4;4984;3871;1225;3361;285;2500
50;5;5137;3871;1225;3347;285;2500
100;1;11845;15246;4950;6943;570;10000
100;2;12435;15246;4950;6851;570;10000
100;3;13169;15246;4950;7024;570;10000
100;4;12553;15246;4950;7450;570;10000
100;5;12034;15246;4950;29714;570;10000
500;1;240422;376246;124750;128139;2631;250000
500;2;261998;376246;124750;115306;2631;250000
500;3;586256;376246;124750;217711;2631;250000
500;4;501228;376246;124750;199698;2631;250000
500;5;428684;376246;124750;136821;2631;250000
1000;1;1235923;1502496;499500;515360;4830;1000000
1000;2;1288855;1502496;499500;611912;4830;1000000
1000;3;1412382;1502496;499500;502681;4830;1000000
1000;4;1299469;1502496;499500;646819;4830;1000000
1000;5;1145456;1502496;499500;458792;4830;1000000
5000;1;31699727;37512496;12497500;11079625;17670;25000000
5000;2;66411104;37512496;12497500;18027867;17670;25000000
5000;3;37972802;37512496;12497500;13412872;17670;25000000
5000;4;32483929;37512496;12497500;12223438;17670;25000000
5000;5;25834784;37512496;12497500;9164079;17670;25000000
10000;1;96932226;150024996;49995000;41389641;32691;100000000
10000;2;97997949;150024996;49995000;37371994;32691;100000000
10000;3;96314995;150024996;49995000;37016283;32691;100000000
10000;4;95670618;150024996;49995000;36918076;32691;100000000
10000;5;97459961;150024996;49995000;36761831;32691;100000000
