
10;1;6196;9;9;4148;171;45
10;2;6897;9;9;5627;171;45
10;3;8252;9;9;3719;171;45
10;4;9171;9;9;24345;171;45
10;5;9007;9;9;4859;171;45
50;1;19371;46;49;9754;3871;1225
50;2;11287;46;49;8577;3871;1225
50;3;14054;46;49;55413;3871;1225
50;4;11884;46;49;8832;3871;1225
50;5;11966;46;49;8893;3871;1225
100;1;18310;91;99;22181;15246;4950
100;2;18270;91;99;22382;15246;4950
100;3;17755;91;99;22276;15246;4950
100;4;17982;91;99;22970;15246;4950
100;5;18134;91;99;22391;15246;4950
500;1;190254;378;499;444896;376246;124750
500;2;188195;378;499;447132;376246;124750
500;3;274581;378;499;475957;376246;124750
500;4;209157;378;499;462227;376246;124750
500;5;195147;378;499;445686;376246;124750
1000;1;646159;613;999;2029949;1502496;499500
1000;2;710198;613;999;1855731;1502496;499500
1000;3;648753;613;999;1844120;1502496;499500
1000;4;648687;613;999;1746355;1502496;499500
1000;5;638449;613;999;1818824;1502496;499500
5000;1;14806546;895;4999;44737573;37512496;12497500
5000;2;14069896;895;4999;48842112;37512496;12497500
5000;3;18690055;895;4999;44133868;37512496;12497500
5000;4;37150807;895;4999;51731489;37512496;12497500
5000;5;44598276;895;4999;44147282;37512496;12497500
10000;1;169224932;899;9999;176223264;150024996;49995000
10000;2;56562524;899;9999;180510677;150024996;49995000
10000;3;284343140;899;9999;183851883;150024996;49995000
10000;4;59564913;899;9999;174277970;150024996;49995000
10000;5;73818747;899;9999;175270217;150024996;49995000
