
10;1;4097;68;19;2869;171;45
10;2;3963;68;19;3055;171;45
10;3;3385;68;19;2467;171;45
10;4;7429;68;19;2857;171;45
10;5;16897;68;19;3047;171;45
50;1;6669;572;153;7309;3871;1225
50;2;19856;572;153;8740;3871;1225
50;3;8941;572;153;8736;3871;1225
50;4;7101;572;153;7029;3871;1225
50;5;12830;572;153;7742;3871;1225
100;1;13415;1344;356;21457;15246;4950
100;2;17771;1344;356;22158;15246;4950
100;3;16223;1344;356;20768;15246;4950
100;4;18750;1344;356;21945;15246;4950
100;5;16288;1344;356;18119;15246;4950
500;1;74272;8976;2272;434518;376246;124750
500;2;70111;8976;2272;415033;376246;124750
500;3;75252;8976;2272;452897;376246;124750
500;4;100018;8976;2272;440902;376246;124750
500;5;71054;8976;2272;431695;376246;124750
1000;1;150482;19952;5044;1530909;1502496;499500
1000;2;141088;19952;5044;1521844;1502496;499500
1000;3;122018;19952;5044;1105699;1502496;499500
1000;4;96617;19952;5044;933764;1502496;499500
1000;5;119069;19952;5044;974093;1502496;499500
5000;1;536852;123616;32004;25685144;37512496;12497500
5000;2;524668;123616;32004;24591566;37512496;12497500
5000;3;519552;123616;32004;25902539;37512496;12497500
5000;4;564826;123616;32004;24526617;37512496;12497500
5000;5;637567;123616;32004;23681128;37512496;12497500
10000;1;1056892;267232;69008;95691137;150024996;49995000
10000;2;1052372;267232;69008;99692327;150024996;49995000
10000;3;1363566;267232;69008;109479467;150024996;49995000
10000;4;1642488;267232;69008;105975191;150024996;49995000
10000;5;1195507;267232;69008;107270509;150024996;49995000
