
10;1;40181;75;24;63188;54;100
10;2;35928;75;24;63757;54;100
10;3;65631;75;24;14441;54;100
10;4;11526;75;24;11395;54;100
10;5;13673;75;24;12144;54;100
50;1;28001;467;238;138211;2007;2500
50;2;59701;467;238;225363;2007;2500
50;3;79191;467;238;189534;2007;2500
50;4;42026;467;238;120871;2007;2500
50;5;61494;467;238;192323;2007;2500
100;1;55671;1083;652;434673;6855;10000
100;2;68100;1083;652;712459;6855;10000
100;3;19584;1083;652;434725;6855;10000
100;4;19255;1083;652;466251;6855;10000
100;5;17937;1083;652;125784;6855;10000
500;1;123308;8922;4518;1022734;153753;250000
500;2;151421;8922;4518;770396;153753;250000
500;3;117976;8922;4518;860966;153753;250000
500;4;124673;8922;4518;308498;153753;250000
500;5;72584;8922;4518;372854;153753;250000
1000;1;97025;19466;10716;1155639;560337;1000000
1000;2;102528;19466;10716;1129711;560337;1000000
1000;3;73809;19466;10716;1123435;560337;1000000
1000;4;94502;19466;10716;1134257;560337;1000000
1000;5;67461;19466;10716;1023382;560337;1000000
5000;1;626152;150767;73417;27045448;5548827;25000000
5000;2;475845;150767;73417;24450796;5548827;25000000
5000;3;384767;150767;73417;18959930;5548827;25000000
5000;4;330510;150767;73417;29549134;5548827;25000000
5000;5;693155;150767;73417;24808405;5548827;25000000
10000;1;690820;423805;192467;67692615;12329664;100000000
10000;2;830332;423805;192467;63966936;12329664;100000000
10000;3;833498;423805;192467;59972803;12329664;100000000
10000;4;676230;423805;192467;57542100;12329664;100000000
10000;5;769261;423805;192467;57111953;12329664;100000000
