
10;1;16850;1;9;32108;75;24
10;2;29918;1;9;22022;75;24
10;3;22878;1;9;46420;75;24
10;4;23182;1;9;15673;75;24
10;5;22645;1;9;16930;75;24
50;1;57237;3;49;78246;467;238
50;2;62385;3;49;85374;467;238
50;3;65252;3;49;90171;467;238
50;4;49760;3;49;75339;467;238
50;5;59858;3;49;55021;467;238
100;1;132447;4;99;114886;1083;652
100;2;127202;4;99;43798;1083;652
100;3;137099;4;99;28418;1083;652
100;4;127619;4;99;28711;1083;652
100;5;124028;4;99;32506;1083;652
500;1;1455725;9;499;188229;8922;4518
500;2;1278157;9;499;173409;8922;4518
500;3;1575322;9;499;166509;8922;4518
500;4;1582177;9;499;201414;8922;4518
500;5;1601160;9;499;189602;8922;4518
1000;1;5178967;5;999;142079;19466;10716
1000;2;5378846;5;999;153750;19466;10716
1000;3;4808376;5;999;135818;19466;10716
1000;4;4520724;5;999;101320;19466;10716
1000;5;5581934;5;999;134693;19466;10716
5000;1;39149015;9;4999;873635;150767;73417
5000;2;66454650;9;4999;648601;150767;73417
5000;3;79756419;9;4999;603174;150767;73417
5000;4;16401245;9;4999;615301;150767;73417
5000;5;81750397;9;4999;798563;150767;73417
10000;1;731952991;6;9999;1299845;423805;192467
10000;2;96874045;6;9999;1832923;423805;192467
10000;3;170043360;6;9999;1291176;423805;192467
10000;4;116612826;6;9999;1274916;423805;192467
10000;5;235486316;6;9999;1354997;423805;192467
