
10;1;13489;68;24;24676;75;24
10;2;25802;68;24;12928;75;24
10;3;14234;68;24;11414;75;24
10;4;23211;68;24;13391;75;24
10;5;123059;68;24;16677;75;24
50;1;72592;572;223;25765;467;238
50;2;78346;572;223;38637;467;238
50;3;60430;572;223;39611;467;238
50;4;95497;572;223;35990;467;238
50;5;20284;572;223;23947;467;238
100;1;29074;1344;550;86703;1083;652
100;2;41862;1344;550;33149;1083;652
100;3;28722;1344;550;13391;1083;652
100;4;25614;1344;550;11760;1083;652
100;5;23525;1344;550;13368;1083;652
500;1;161640;8976;3867;117095;8922;4518
500;2;208540;8976;3867;115797;8922;4518
500;3;342055;8976;3867;146016;8922;4518
500;4;165917;8976;3867;121992;8922;4518
500;5;223721;8976;3867;121067;8922;4518
1000;1;484878;19952;8708;147513;19466;10716
1000;2;429528;19952;8708;89206;19466;10716
1000;3;429843;19952;8708;89425;19466;10716
1000;4;260858;19952;8708;69290;19466;10716
1000;5;238819;19952;8708;61103;19466;10716
5000;1;1085151;123616;55294;404644;150767;73417
5000;2;1269827;123616;55294;447813;150767;73417
5000;3;1142335;123616;55294;464057;150767;73417
5000;4;1112618;123616;55294;446698;150767;73417
5000;5;1069499;123616;55294;435461;150767;73417
10000;1;2679444;267232;120379;976596;423805;192467
10000;2;2213890;267232;120379;941886;423805;192467
10000;3;2264273;267232;120379;1299313;423805;192467
10000;4;3007119;267232;120379;955300;423805;192467
10000;5;2114620;267232;120379;891214;423805;192467
