
10;1;6235;27;45;18250;54;100
10;2;733522;27;45;22416;54;100
10;3;36203;27;45;7319;54;100
10;4;14837;27;45;4952;54;100
10;5;3653;27;45;3523;54;100
50;1;12775;147;1225;7396;285;2500
50;2;48428;147;1225;22725;285;2500
50;3;44959;147;1225;61401;285;2500
50;4;343751;147;1225;39246;285;2500
50;5;52810;147;1225;223990;285;2500
100;1;47531;297;4950;18978;570;10000
100;2;13762;297;4950;23277;570;10000
100;3;19423;297;4950;23629;570;10000
100;4;43347;297;4950;466103;570;10000
100;5;18857;297;4950;46063;570;10000
500;1;219433;1497;124750;181380;2631;250000
500;2;126479;1497;124750;228321;2631;250000
500;3;247746;1497;124750;193525;2631;250000
500;4;171904;1497;124750;211485;2631;250000
500;5;171925;1497;124750;222127;2631;250000
1000;1;435102;2997;499500;1115431;4830;1000000
1000;2;638845;2997;499500;947135;4830;1000000
1000;3;471882;2997;499500;915197;4830;1000000
1000;4;480209;2997;499500;747805;4830;1000000
1000;5;533259;2997;499500;878028;4830;1000000
5000;1;5991738;14997;12497500;12112698;17670;25000000
5000;2;5082250;14997;12497500;9736131;17670;25000000
5000;3;4634446;14997;12497500;12891382;17670;25000000
5000;4;5074739;14997;12497500;10305946;17670;25000000
5000;5;4948302;14997;12497500;9654722;17670;25000000
10000;1;20205506;29997;49995000;41677154;32691;100000000
10000;2;19147691;29997;49995000;38501354;32691;100000000
10000;3;18707941;29997;49995000;39876145;32691;100000000
10000;4;18468062;29997;49995000;36611489;32691;100000000
10000;5;23081805;29997;49995000;46966939;32691;100000000
