
10;1;1802;96;45;1533;135;100
10;2;4251;96;45;1350;135;100
10;3;1586;96;45;1339;135;100
10;4;1483;96;45;1329;135;100
10;5;1765;96;45;1641;135;100
50;1;3207;1777;1095;4978;3552;2500
50;2;3611;1777;1095;23485;3552;2500
50;3;5946;1777;1095;3988;3552;2500
50;4;17218;1777;1095;4662;3552;2500
50;5;19464;1777;1095;4560;3552;2500
100;1;8096;7239;4628;34919;13602;10000
100;2;8680;7239;4628;12290;13602;10000
100;3;8280;7239;4628;12811;13602;10000
100;4;8146;7239;4628;10707;13602;10000
100;5;21336;7239;4628;28774;13602;10000
500;1;156719;160041;102807;206247;277986;250000
500;2;182962;160041;102807;276819;277986;250000
500;3;189965;160041;102807;195561;277986;250000
500;4;144082;160041;102807;190035;277986;250000
500;5;224198;160041;102807;318673;277986;250000
1000;1;451101;511761;313275;675432;943788;1000000
1000;2;470552;511761;313275;695857;943788;1000000
1000;3;461932;511761;313275;691772;943788;1000000
1000;4;449802;511761;313275;693715;943788;1000000
1000;5;449253;511761;313275;687201;943788;1000000
5000;1;7452503;10798812;4708454;12488925;6735429;25000000
5000;2;7823802;10798812;4708454;12098978;6735429;25000000
5000;3;7394477;10798812;4708454;12045593;6735429;25000000
5000;4;7440358;10798812;4708454;13391489;6735429;25000000
5000;5;7485453;10798812;4708454;12348567;6735429;25000000
10000;1;27872213;39971251;15572762;49151850;13496631;100000000
10000;2;28410737;39971251;15572762;48587883;13496631;100000000
10000;3;27255224;39971251;15572762;51494090;13496631;100000000
10000;4;27329124;39971251;15572762;48449846;13496631;100000000
10000;5;28691773;39971251;15572762;51007605;13496631;100000000
